latitude,longitude,datetime,ros_observed,spread_direction,confidence,brightness_k,region,temp_c,rh_percent,wind_speed_ms,wind_dir,slope_deg,slope_pct,aspect_deg,landcover_code,fuel_model_code,ros_rothermel,phi_w,phi_s,phi_eff,beta,beta_opt,beta_ratio,gamma,eta_M,eta_S,I_R_kW_m2,xi,tau_min,ndvi,ndwi,lst_c,dfmc_percent,vpd_kpa,w_total_kg_m2,w_dead_kg_m2,w_live_kg_m2,delta_m,sigma_m2_m3,mx_percent,h_dead_kj_kg,ndvi_origin,ndwi_origin,lst_c_origin,delta_ros
-26.09973,29.1979,2021-04-08T23:20:00,0.17482499922798916,203.10509900581198,n,296.86,south_africa,19.158288574218773,42.327459633382524,0.30631808286724277,192.61621218911887,2.4250668328668272,4.235069340437096,221.92477982146005,30,AF_GRASSLAND_FERTILE,1.3963003046585416,0.10392932077872563,0.05840655489586615,0.1623358756745918,0.0023170731707317068,0.004227783538148697,0.5480586103389601,15.673798229939608,0.3344703023699411,0.4173969279093913,643.4784045573801,0.06006092026596609,0.11081948089822104,0.22,-0.034,29.158288574218773,24.884517607107846,1.2798614141881102,0.95,0.45,0.5,0.8,11368.42105263158,18,18600,estimated_from_region,estimated_from_region,approx_temp_c_plus_10,-1.2214753054305525
-26.08878,29.21832,2021-04-09T23:01:00,0.21566868711102458,270.207522594393,n,302.99,south_africa,19.158288574218773,42.327459633382524,0.30631808286724277,192.61621218911887,0.3466229626732567,0.6049785767245466,221.9274473005007,40,AF_CEREALES,5.3404216027609915e-16,0.012048472200165694,0.0005569077208181575,0.012605379920983852,0.02926829268292683,0.00336918194230768,8.68706207741333,6.447509592602077,4.440892098500626e-16,0.4173969279093913,5.071868802413495e-13,0.3091523399750953,0.08398950131233596,0.22,-0.034,29.158288574218773,24.884517607107846,1.2798614141881102,1.5,1.5,0.0,0.1,15000.0,18,17000,estimated_from_region,estimated_from_region,approx_temp_c_plus_10,0.21566868711102405
-26.09345,29.19823,2021-04-11T22:23:00,0.3042462228515763,357.12573937998303,n,301.76,south_africa,19.158288574218773,42.327459633382524,0.30631808286724277,192.61621218911887,1.802934273297379,3.1477529434307727,210.90974196843592,30,AF_GRASSLAND_FERTILE,1.3648976703793605,0.10392932077872563,0.032265753886511095,0.13619507466523673,0.0023170731707317068,0.004227783538148697,0.5480586103389601,15.673798229939608,0.3344703023699411,0.4173969279093913,643.4784045573801,0.06006092026596609,0.11081948089822104,0.22,-0.034,29.158288574218773,24.884517607107846,1.2798614141881102,0.95,0.45,0.5,0.8,11368.42105263158,18,18600,estimated_from_region,estimated_from_region,approx_temp_c_plus_10,-1.0606514475277842
-26.09925,29.19664,2021-04-11T22:23:00,0.19497301530091837,220.07320483566428,n,303.71,south_africa,19.158288574218773,42.327459633382524,0.30631808286724277,192.61621218911887,1.389402460851207,2.425440199345807,270.0,30,AF_GRASSLAND_FERTILE,1.3491499715268944,0.10392932077872563,0.019156743400391526,0.12308606417911716,0.0023170731707317068,0.004227783538148697,0.5480586103389601,15.673798229939608,0.3344703023699411,0.4173969279093913,643.4784045573801,0.06006092026596609,0.11081948089822104,0.22,-0.034,29.158288574218773,24.884517607107846,1.2798614141881102,0.95,0.45,0.5,0.8,11368.42105263158,18,18600,estimated_from_region,estimated_from_region,approx_temp_c_plus_10,-1.154176956225976
-25.98937,29.22542,2021-04-12T12:30:00,2.3086343361241566,156.0645526716998,n,334.28,south_africa,19.158288574218773,42.327459633382524,0.30631808286724277,192.61621218911887,3.5139386199218223,6.140680865797521,323.6676201060766,30,AF_GRASSLAND_FERTILE,1.4736469723936791,0.10392932077872563,0.12279299560098236,0.226722316379708,0.0023170731707317068,0.004227783538148697,0.5480586103389601,15.673798229939608,0.3344703023699411,0.4173969279093913,643.4784045573801,0.06006092026596609,0.11081948089822104,0.22,-0.034,29.158288574218773,24.884517607107846,1.2798614141881102,0.95,0.45,0.5,0.8,11368.42105263158,18,18600,estimated_from_region,estimated_from_region,approx_temp_c_plus_10,0.8349873637304774
-25.98372,29.22368,2021-04-12T12:30:00,4.169347151042951,349.483113058671,h,367.0,south_africa,19.158288574218773,42.327459633382524,0.30631808286724277,192.61621218911887,7.936096782357957,13.940366140437458,286.87752836437306,30,AF_GRASSLAND_FERTILE,2.0863516009960965,0.10392932077872563,0.6328326830811218,0.7367620038598475,0.0023170731707317068,0.004227783538148697,0.5480586103389601,15.673798229939608,0.3344703023699411,0.4173969279093913,643.4784045573801,0.06006092026596609,0.11081948089822104,0.22,-0.034,29.158288574218773,24.884517607107846,1.2798614141881102,0.95,0.45,0.5,0.8,11368.42105263158,18,18600,estimated_from_region,estimated_from_region,approx_temp_c_plus_10,2.082995550046854
-26.09773,29.19663,2021-04-13T23:26:00,0.1510657882021,241.2564558206956,n,314.32,south_africa,19.158288574218773,42.327459633382524,0.30631808286724277,192.61621218911887,0.3466376411399802,0.6050041964195774,138.07473172412796,30,AF_GRASSLAND_FERTILE,1.3275690758497283,0.10392932077872563,0.001191948011411762,0.10512126879013739,0.0023170731707317068,0.004227783538148697,0.5480586103389601,15.673798229939608,0.3344703023699411,0.4173969279093913,643.4784045573801,0.06006092026596609,0.11081948089822104,0.22,-0.034,29.158288574218773,24.884517607107846,1.2798614141881102,0.95,0.45,0.5,0.8,11368.42105263158,18,18600,estimated_from_region,estimated_from_region,approx_temp_c_plus_10,-1.1765032876476282
-26.09473,29.19916,2021-04-14T23:07:00,0.2927415350956859,36.821336323519034,n,303.5,south_africa,19.158288574218773,42.327459633382524,0.30631808286724277,192.61621218911887,1.3862772234252503,2.419982429470218,221.92599876921173,30,AF_GRASSLAND_FERTILE,1.349046520546048,0.10392932077872563,0.01907062669182203,0.12299994747054765,0.0023170731707317068,0.004227783538148697,0.5480586103389601,15.673798229939608,0.3344703023699411,0.4173969279093913,643.4784045573801,0.06006092026596609,0.11081948089822104,0.22,-0.034,29.158288574218773,24.884517607107846,1.2798614141881102,0.95,0.45,0.5,0.8,11368.42105263158,18,18600,estimated_from_region,estimated_from_region,approx_temp_c_plus_10,-1.056304985450362
-26.09174,29.22619,2021-04-15T22:48:00,0.49274867189443455,127.72806275508458,n,303.4,south_africa,19.158288574218773,42.327459633382524,0.30631808286724277,192.61621218911887,0.7411121508764313,1.2935568585206205,249.6372075464767,30,AF_GRASSLAND_FERTILE,1.3326829432083542,0.10392932077872563,0.005448934473808575,0.10937825525253421,0.0023170731707317068,0.004227783538148697,0.5480586103389601,15.673798229939608,0.3344703023699411,0.4173969279093913,643.4784045573801,0.06006092026596609,0.11081948089822104,0.22,-0.034,29.158288574218773,24.884517607107846,1.2798614141881102,0.95,0.45,0.5,0.8,11368.42105263158,18,18600,estimated_from_region,estimated_from_region,approx_temp_c_plus_10,-0.8399342713139197
-26.09521,29.20117,2021-04-15T22:48:00,0.14434118987082098,105.05609093118446,n,304.13,south_africa,19.158288574218773,42.327459633382524,0.30631808286724277,192.61621218911887,3.2639851780996794,5.702899297501776,150.2522279750325,30,AF_GRASSLAND_FERTILE,1.4533641584779584,0.10392932077872563,0.10590877506817985,0.2098380958469055,0.0023170731707317068,0.004227783538148697,0.5480586103389601,15.673798229939608,0.3344703023699411,0.4173969279093913,643.4784045573801,0.06006092026596609,0.11081948089822104,0.22,-0.034,29.158288574218773,24.884517607107846,1.2798614141881102,0.95,0.45,0.5,0.8,11368.42105263158,18,18600,estimated_from_region,estimated_from_region,approx_temp_c_plus_10,-1.3090229686071375
-26.09846,29.1964,2021-04-15T22:48:00,0.14877979871616986,258.18442796774787,n,308.91,south_africa,19.158288574218773,42.327459633382524,0.30631808286724277,192.61621218911887,1.0398150064410103,1.815018814829522,318.07491058554405,40,AF_CEREALES,5.363920813229322e-16,0.012048472200165694,0.005012628394973185,0.01706110059513888,0.02926829268292683,0.00336918194230768,8.68706207741333,6.447509592602077,4.440892098500626e-16,0.4173969279093913,5.071868802413495e-13,0.3091523399750953,0.08398950131233596,0.22,-0.034,29.158288574218773,24.884517607107846,1.2798614141881102,1.5,1.5,0.0,0.1,15000.0,18,17000,estimated_from_region,estimated_from_region,approx_temp_c_plus_10,0.14877979871616934
-26.09921,29.20024,2021-04-15T22:48:00,0.14996462195110905,126.4275957053078,n,296.66,south_africa,19.158288574218773,42.327459633382524,0.30631808286724277,192.61621218911887,2.2605638369621173,3.9474766704125024,204.18088352648678,30,AF_GRASSLAND_FERTILE,1.38709466441874,0.10392932077872563,0.050743414041727726,0.15467273482045335,0.0023170731707317068,0.004227783538148697,0.5480586103389601,15.673798229939608,0.3344703023699411,0.4173969279093913,643.4784045573801,0.06006092026596609,0.11081948089822104,0.22,-0.034,29.158288574218773,24.884517607107846,1.2798614141881102,0.95,0.45,0.5,0.8,11368.42105263158,18,18600,estimated_from_region,estimated_from_region,approx_temp_c_plus_10,-1.237130042467631
-25.9998,29.198,2021-04-19T12:27:00,35.02380508067948,339.9615805857126,0,318.2,south_africa,19.158288574218773,42.327459633382524,0.30631808286724277,192.61621218911887,4.61944978933233,8.079975933660617,326.6104544640223,30,AF_GRASSLAND_FERTILE,1.5815295409261447,0.10392932077872563,0.2125987339130375,0.31652805469176315,0.0023170731707317068,0.004227783538148697,0.5480586103389601,15.673798229939608,0.3344703023699411,0.4173969279093913,643.4784045573801,0.06006092026596609,0.11081948089822104,0.22,-0.034,29.158288574218773,24.884517607107846,1.2798614141881102,0.95,0.45,0.5,0.8,11368.42105263158,18,18600,estimated_from_region,estimated_from_region,approx_temp_c_plus_10,33.44227553975333
-26.0276,29.2052,2021-04-19T12:27:00,19.984444804283573,173.63019717454216,59,318.6,south_africa,19.158288574218773,42.327459633382524,0.30631808286724277,192.61621218911887,1.389402460851207,2.425440199345807,90.0,30,AF_GRASSLAND_FERTILE,1.3491499715268944,0.10392932077872563,0.019156743400391526,0.12308606417911716,0.0023170731707317068,0.004227783538148697,0.5480586103389601,15.673798229939608,0.3344703023699411,0.4173969279093913,643.4784045573801,0.06006092026596609,0.11081948089822104,0.22,-0.034,29.158288574218773,24.884517607107846,1.2798614141881102,0.95,0.45,0.5,0.8,11368.42105263158,18,18600,estimated_from_region,estimated_from_region,approx_temp_c_plus_10,18.635294832756678
-26.09975,29.19757,2021-04-19T23:13:00,0.2672814747971815,221.8196833388912,n,307.39,south_africa,19.158288574218773,42.327459633382524,0.30631808286724277,192.61621218911887,3.098848604564921,5.413790952518321,131.695905197954,30,AF_GRASSLAND_FERTILE,1.4407915942759197,0.10392932077872563,0.09544287287472189,0.19937219365344752,0.0023170731707317068,0.004227783538148697,0.5480586103389601,15.673798229939608,0.3344703023699411,0.4173969279093913,643.4784045573801,0.06006092026596609,0.11081948089822104,0.22,-0.034,29.158288574218773,24.884517607107846,1.2798614141881102,0.95,0.45,0.5,0.8,11368.42105263158,18,18600,estimated_from_region,estimated_from_region,approx_temp_c_plus_10,-1.1735101194787383
-26.09641,29.1982,2021-04-19T23:13:00,0.1480101008585819,294.64100699032224,n,321.99,south_africa,19.158288574218773,42.327459633382524,0.30631808286724277,192.61621218911887,2.918275512203234,5.097760622148974,166.23780009025404,30,AF_GRASSLAND_FERTILE,1.4277963837298735,0.10392932077872563,0.0846251430645806,0.18855446384330624,0.0023170731707317068,0.004227783538148697,0.5480586103389601,15.673798229939608,0.3344703023699411,0.4173969279093913,643.4784045573801,0.06006092026596609,0.11081948089822104,0.22,-0.034,29.158288574218773,24.884517607107846,1.2798614141881102,0.95,0.45,0.5,0.8,11368.42105263158,18,18600,estimated_from_region,estimated_from_region,approx_temp_c_plus_10,-1.2797862828712916
-26.09683,29.1972,2021-04-21T22:36:00,0.19749360557222775,245.3969918423829,n,311.87,south_africa,19.158288574218773,42.327459633382524,0.30631808286724277,192.61621218911887,2.062352389145864,3.6010392900559496,180.0,30,AF_GRASSLAND_FERTILE,1.3768647016482365,0.10392932077872563,0.042227586396843424,0.14615690717556906,0.0023170731707317068,0.004227783538148697,0.5480586103389601,15.673798229939608,0.3344703023699411,0.4173969279093913,643.4784045573801,0.06006092026596609,0.11081948089822104,0.22,-0.034,29.158288574218773,24.884517607107846,1.2798614141881102,0.95,0.45,0.5,0.8,11368.42105263158,18,18600,estimated_from_region,estimated_from_region,approx_temp_c_plus_10,-1.1793710960760087
-25.98559,29.21903,2021-04-24T23:19:00,3.3988876054517245,35.07629906474312,n,296.86,south_africa,19.158288574218773,42.327459633382524,0.30631808286724277,192.61621218911887,12.240231408797737,21.694275870078247,33.986991209906364,10,AF_FOREST_DRY,1.1438388205216055,0.15886768294415543,1.1218096164756444,1.2806772994198,0.00655609756097561,0.006571768890528646,0.9976153559545251,15.4215618082764,0.32071489611195597,0.4173969279093913,1137.2111175965813,0.03966491818489574,0.18991152263788805,0.22,-0.034,29.158288574218773,24.884517607107846,1.2798614141881102,1.6800000000000002,1.0,0.6799999999999999,0.5,6633.839285714285,28,19500,estimated_from_region,estimated_from_region,approx_temp_c_plus_10,2.255048784930119
