latitude,longitude,datetime,ros_observed,spread_direction,confidence,brightness_k,region,temp_c,rh_percent,wind_speed_ms,wind_dir,slope_pct,slope_deg,aspect_deg,angle_wind_slope,elevation_m,dewpoint_c,fuel_model_code,ros_rothermel,phi_w,phi_s,phi_eff,beta,beta_opt,beta_ratio,gamma,eta_M,eta_S,I_R_kW_m2,xi,tau_min,ndvi,ndwi,lst_c,dfmc_percent,vpd_kpa,w_total_kg_m2,w_dead_kg_m2,w_live_kg_m2,delta_m,sigma_m2_m3,mx_percent,h_dead_kj_kg,delta_ros
-17.00917,45.9257,2026-06-12T10:00:00,0.9585808203635173,33.22432114727346,h,367.0,madagascar,26.6,41,2.2777777777777777,100,4.714045207910317,2.698950908923438,135.0,145.0,241.0,12.4,AF_MIOMBO,2.34548997475528,3.2965496654735387,0.05720396163699407,3.249856558198252,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.3316034902613888,0.4173969279093913,916.2310095149361,0.041241278695438734,0.17280058193919054,0.22,-0.034,36.6,22.203278735102398,2.0546885059590405,1.3,0.75,0.55,0.5,1500.0,25,19500,-1.3869091543917629
-16.73104,48.76691,2026-06-11T10:17:00,0.4417404907976225,95.69112874639985,l,367.0,madagascar,21.8,48,1.0,229,13.437096247164249,7.653048720543413,172.8749836510982,123.8749836510982,1077.0,10.3,AF_MIOMBO,0.738994167298465,0.9139638813733836,0.4647821883005768,0.7601359703880987,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.2540017057227754,0.4173969279093913,701.8148061995599,0.041241278695438734,0.17280058193919054,0.22,-0.034,31.8,24.42456652196123,1.3581733912155083,1.3,0.75,0.55,0.5,1500.0,25,19500,-0.2972536765008425
-19.22516,45.72489,2026-06-13T11:19:00,4.796984591699558,215.91542231653392,h,367.0,madagascar,23.2,30,2.5277777777777777,39,7.071067811865476,4.044691235386269,45.0,174.0,1110.0,4.6,AF_MIOMBO,2.3655336878052475,3.8535308808292505,0.12870891368323673,3.7255513402646088,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.30819190897186843,0.4173969279093913,851.5440644459026,0.041241278695438734,0.17280058193919054,0.22,-0.034,33.2,22.703694919876632,1.9905220320493469,1.3,0.75,0.55,0.5,1500.0,25,19500,2.4314509038943104
-17.01001,45.92585,2026-06-12T10:00:00,0.9112277184502157,36.089644472470724,h,367.0,madagascar,26.6,41,2.2777777777777777,100,4.714045207910317,2.698950908923438,135.0,145.0,247.0,12.4,AF_MIOMBO,2.34548997475528,3.2965496654735387,0.05720396163699407,3.249856558198252,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.3316034902613888,0.4173969279093913,916.2310095149361,0.041241278695438734,0.17280058193919054,0.22,-0.034,36.6,22.203278735102398,2.0546885059590405,1.3,0.75,0.55,0.5,1500.0,25,19500,-1.4342622563050647
-19.22994,45.73019,2026-06-13T11:19:00,9.803513653286059,161.54015353378898,h,367.0,madagascar,23.2,30,2.5277777777777777,39,24.267032964268395,13.640311227766057,74.05460409907715,144.94539590092285,1150.0,4.6,AF_MIOMBO,1.8791225976962482,3.8535308808292505,1.515904983380343,2.7538633906768917,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.30819190897186843,0.4173969279093913,851.5440644459026,0.041241278695438734,0.17280058193919054,0.22,-0.034,33.2,22.703694919876632,1.9905220320493469,1.3,0.75,0.55,0.5,1500.0,25,19500,7.92439105558981
-19.4846,45.21166,2026-06-12T11:40:00,14.293028109993717,164.2336801931974,h,367.0,madagascar,25.2,41,1.8333333333333333,112,15.0,8.530765609948133,270.0,22.0,426.0,11.1,AF_MIOMBO,1.9898932000711997,2.3670193499711054,0.579190111574565,2.912128944651507,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.3071066912054055,0.4173969279093913,848.5455731787387,0.041241278695438734,0.17280058193919054,0.22,-0.034,35.2,22.751574441699358,1.8913702233202565,1.3,0.75,0.55,0.5,1500.0,25,19500,12.303134909922518
-19.48275,45.2095,2026-06-12T11:40:00,11.846067484402784,172.4019253949634,h,367.0,madagascar,25.2,41,1.8333333333333333,112,21.666666666666668,12.225122675735753,180.0,112.0,403.0,11.1,AF_MIOMBO,1.6368872364112985,2.3670193499711054,1.2084336895815,2.2181194128740804,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.3071066912054055,0.4173969279093913,848.5455731787387,0.041241278695438734,0.17280058193919054,0.22,-0.034,35.2,22.751574441699358,1.8913702233202565,1.3,0.75,0.55,0.5,1500.0,25,19500,10.209180247991485
-16.56293,45.23234,2026-06-13T09:41:00,0.8449650656795975,253.12517276451462,h,367.0,madagascar,26.4,42,2.2777777777777777,151,0.0,0.0,0.0,29.0,185.0,12.4,AF_MIOMBO,2.321508602623401,3.2965496654735387,0.0,3.2965496654735387,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.32452925558058027,0.4173969279093913,896.6846736846541,0.041241278695438734,0.17280058193919054,0.22,-0.034,36.4,22.369467669933844,1.9962129320264623,1.3,0.75,0.55,0.5,1500.0,25,19500,-1.4765435369438036
-16.20651,47.42649,2026-06-13T11:21:00,7.847659078961335,40.947707064805435,h,367.0,madagascar,29.9,40,0.3611111111111111,106,3.72677996249965,2.1342998941463125,26.56505117707799,100.56505117707798,82.0,14.9,AF_MIOMBO,0.7738010263136451,0.1780396519172195,0.0357524760231213,0.17504901586356775,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.39104270742995834,0.4173969279093913,1080.4634604707674,0.041241278695438734,0.17280058193919054,0.22,-0.034,39.9,20.681817405204484,2.531273037918206,1.3,0.75,0.55,0.5,1500.0,25,19500,7.07385805264769
-17.01394,45.74007,2026-06-13T11:21:00,9.392869276443435,217.20304072671206,h,367.0,madagascar,28.4,34,2.388888888888889,78,2.3570226039551585,1.3502244696996157,135.0,123.0,380.0,11.1,AF_MIOMBO,2.915934230884721,3.5414337249597416,0.014300990409248518,3.533665201864681,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.3865132606682572,0.4173969279093913,1067.948454745869,0.041241278695438734,0.17280058193919054,0.22,-0.034,38.4,20.776374867727533,2.5534500529089867,1.3,0.75,0.55,0.5,1500.0,25,19500,6.476935045558713
