latitude,longitude,datetime,ros_observed,spread_direction,confidence,brightness_k,region,temp_c,rh_percent,wind_speed_ms,wind_dir,slope_pct,slope_deg,aspect_deg,angle_wind_slope,elevation_m,dewpoint_c,fuel_model_code,ros_rothermel,phi_w,phi_s,phi_eff,beta,beta_opt,beta_ratio,gamma,eta_M,eta_S,I_R_kW_m2,xi,tau_min,ndvi,ndwi,lst_c,dfmc_percent,vpd_kpa,w_total_kg_m2,w_dead_kg_m2,w_live_kg_m2,delta_m,sigma_m2_m3,mx_percent,h_dead_kj_kg,ndvi_origin,ndwi_origin,lst_c_origin,delta_ros
-33.95641,18.42901,2021-04-19T13:37:00,0.9004904491192668,239.95518152625195,n,345.61,south_africa_fynbos,16.6,60,10.499999999999998,139,0.0,0.0,0.0,41.0,250.0,8.9,AF_MIOMBO,8.35515993021778,20.35443173378936,0.0,20.35443173378936,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.23575689066574,0.4173969279093913,651.4038008601891,0.041241278695438734,0.17280058193919054,0.22,-0.034,26.6,26.450847872358473,0.7556608510566112,1.3,0.75,0.55,0.5,7290.7307692307695,25,19500,estimated_from_region,estimated_from_region,approx_temp_c_plus_10,-7.454669481098514
-33.95472,18.4346,2021-04-19T13:37:00,0.28195078212290503,216.01342623823484,n,327.06,south_africa_fynbos,15.1,60,10.499999999999998,139,0.0,0.0,0.0,41.0,250.0,7.4,AF_MIOMBO,8.331307248712218,20.35443173378936,0.0,20.35443173378936,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.23575689066574,0.4173969279093913,651.4038008601891,0.041241278695438734,0.17280058193919054,0.22,-0.034,25.1,26.773643592298058,0.686542563080776,1.3,0.75,0.55,0.5,7290.7307692307695,25,19500,estimated_from_region,estimated_from_region,approx_temp_c_plus_10,-8.049356466589312
-33.94729,18.43072,2021-04-19T13:37:00,0.16949049428981083,335.5082503767838,n,356.2,south_africa_fynbos,18.1,61,10.499999999999998,139,0.0,0.0,0.0,41.0,250.0,10.4,AF_MIOMBO,8.397191309501071,20.35443173378936,0.0,20.35443173378936,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.2359076793086774,0.4173969279093913,651.8204346852222,0.041241278695438734,0.17280058193919054,0.22,-0.034,28.1,26.164922446737048,0.8100310213051818,1.3,0.75,0.55,0.5,7290.7307692307695,25,19500,estimated_from_region,estimated_from_region,approx_temp_c_plus_10,-8.22770081521126
-33.94902,18.42487,2021-04-19T13:37:00,5.38121716192093,223.26899150459064,n,342.92,south_africa_fynbos,18.5,61,10.499999999999998,139,0.0,0.0,0.0,41.0,250.0,10.7,AF_MIOMBO,8.404038223424664,20.35443173378936,0.0,20.35443173378936,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.2359076793086774,0.4173969279093913,651.8204346852222,0.041241278695438734,0.17280058193919054,0.22,-0.034,28.5,26.073467129299893,0.8306131482800426,1.3,0.75,0.55,0.5,7290.7307692307695,25,19500,estimated_from_region,estimated_from_region,approx_temp_c_plus_10,-3.022821061503733
-33.95535,18.42818,2021-04-19T13:37:00,0.92453842204976,250.33561584422313,n,346.52,south_africa_fynbos,17.2,60,10.499999999999998,139,0.0,0.0,0.0,41.0,250.0,9.4,AF_MIOMBO,8.365047934033166,20.35443173378936,0.0,20.35443173378936,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.23575689066574,0.4173969279093913,651.4038008601891,0.041241278695438734,0.17280058193919054,0.22,-0.034,27.2,26.317574342421132,0.7849702630315478,1.3,0.75,0.55,0.5,7290.7307692307695,25,19500,estimated_from_region,estimated_from_region,approx_temp_c_plus_10,-7.440509511983406
-33.95373,18.43369,2021-04-19T13:37:00,0.2830305679113481,249.83806736451348,n,338.52,south_africa_fynbos,15.2,60,10.499999999999998,139,0.0,0.0,0.0,41.0,250.0,7.4,AF_MIOMBO,8.332860221698839,20.35443173378936,0.0,20.35443173378936,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.23575689066574,0.4173969279093913,651.4038008601891,0.041241278695438734,0.17280058193919054,0.22,-0.034,25.2,26.752571137533135,0.6909715449867468,1.3,0.75,0.55,0.5,7290.7307692307695,25,19500,estimated_from_region,estimated_from_region,approx_temp_c_plus_10,-8.04982965378749
-33.94698,18.42012,2021-04-19T23:16:00,0.8532747433554628,297.27990175830536,n,322.58,south_africa_fynbos,14.8,82,3.944444444444444,153,0.0,0.0,0.0,27.0,250.0,11.8,AF_MIOMBO,3.392536372356923,7.282342257187607,0.0,7.282342257187607,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.23973160217951184,0.4173969279093913,662.3860554194616,0.041241278695438734,0.17280058193919054,0.22,-0.034,24.8,27.762419812385108,0.30303207504595625,1.3,0.75,0.55,0.5,7290.7307692307695,25,19500,estimated_from_region,estimated_from_region,approx_temp_c_plus_10,-2.53926162900146
-33.95789,18.42712,2021-04-19T23:16:00,0.41419489706578594,226.7630512981443,n,317.34,south_africa_fynbos,12.2,82,3.944444444444444,153,0.0,0.0,0.0,27.0,250.0,9.1,AF_MIOMBO,3.3823062174061116,7.282342257187607,0.0,7.282342257187607,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.23973160217951184,0.4173969279093913,662.3860554194616,0.041241278695438734,0.17280058193919054,0.22,-0.034,22.2,28.140474300557393,0.2558102797770437,1.3,0.75,0.55,0.5,7290.7307692307695,25,19500,estimated_from_region,estimated_from_region,approx_temp_c_plus_10,-2.9681113203403258
-33.95642,18.42054,2021-04-19T23:16:00,1.2369092591069246,260.4539411701796,n,318.92,south_africa_fynbos,13.4,82,3.944444444444444,153,0.0,0.0,0.0,27.0,250.0,10.4,AF_MIOMBO,3.386174624129246,7.282342257187607,0.0,7.282342257187607,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.23973160217951184,0.4173969279093913,662.3860554194616,0.041241278695438734,0.17280058193919054,0.22,-0.034,23.4,27.968163792988022,0.2767344828047905,1.3,0.75,0.55,0.5,7290.7307692307695,25,19500,estimated_from_region,estimated_from_region,approx_temp_c_plus_10,-2.1492653650223215
-33.95305,18.42637,2021-04-19T23:16:00,0.5271914295736503,326.7598622954425,h,367.0,south_africa_fynbos,13.7,82,3.944444444444444,153,0.0,0.0,0.0,27.0,250.0,10.7,AF_MIOMBO,3.387522321330022,7.282342257187607,0.0,7.282342257187607,0.005073170731707317,0.006082783714796037,0.8340212260658074,15.522311939093914,0.23973160217951184,0.4173969279093913,662.3860554194616,0.041241278695438734,0.17280058193919054,0.22,-0.034,23.7,27.924513683856897,0.2821945264572405,1.3,0.75,0.55,0.5,7290.7307692307695,25,19500,estimated_from_region,estimated_from_region,approx_temp_c_plus_10,-2.8603308917563717
